"country","alcoloholPerYear","alcoholPerDay","beer%","wine%","spirits%"
"Tunisia","36.6000","79.1000","72.2000","23.9000","3.8000"
"Swaziland","34.4000","74.3000","24.6000","16.1000","0"
"Maldives","33.7000","72.8000","30.8000","37.2000","31.9000"
"Afghanistan","33.5000","72.4000","0","0","0"
"Namibia","32.4000","70.1000","60.2000","10.4000","13.9000"
"South Africa","29.9000","64.6000","56","18.5000","17.8000"
"Algeria","29.1000","63","57.3000","24.4000","18.3000"
"Turkey","28.5000","61.7000","57.6000","8.6000","33.8000"
"Iran","28.4000","61.4000","0","0","0"
"Lesotho","28.2000","61","57.4000","3.2000","10.5000"
"Georgia","27.9000","60.4000","18.4000","43","38.5000"
"Nauru","27.3000","59","22","3.7000","74.3000"
"Zimbabwe","27.2000","58.8000","62.8000","1.3000","12"
"Libya","26.4000","57","0","0","0"
"Botswana","26.2000","56.6000","48.1000","23.5000","4.4000"
"Uganda","26","56.3000","11","0.1000","3.1000"
"Pakistan","26","56.2000","0","0","0"
"Laos","25.9000","56","50.1000","0","49.8000"
"Tanzania","25.8000","55.7000","12.2000","0.4000","1.6000"
"Rwanda","25.6000","55.4000","14.8000","0.2000","2.7000"
"Nigeria","25.5000","55","7.9000","0.4000","0.6000"
"Lebanon","25","54.1000","33.9000","15.4000","49.2000"
"Jordan","24.6000","53.2000","19.9000","2.6000","75.9000"
"Morocco","24.5000","52.9000","42.9000","39.8000","17"
"Kyrgyzstan","24","51.9000","11.6000","2.2000","86.2000"
"Burundi","23.7000","51.2000","39.3000","0.1000","0.1000"
"Moldova","22.8000","49.2000","16.2000","56.6000","25.2000"
"Vietnam","22.8000","49.3000","91.5000","0.8000","7.7000"
"Cameroon","22.6000","48.8000","43.5000","1.4000","0.1000"
"Comoros","22.3000","48.3000","24.6000","30.6000","44.8000"
"Burkina Faso","22.2000","47.9000","18","2.7000","5"
"Bahrain","22.1000","47.9000","19","6.2000","45.2000"
"Sudan","22","47.5000","0","0","0"
"Mongolia","21.9000","47.2000","43.6000","1.9000","54.5000"
"Seychelles","21.8000","47.2000","68.9000","22.4000","6.3000"
"Cambodia","21.7000","47","88.1000","0.6000","11.2000"
"Ivory Coast","21.7000","46.9000","21.9000","5","0.2000"
"Armenia","21.3000","46","10.6000","7","82.3000"
"Niue","21","45.5000","56.3000","13.1000","30.6000"
"Cook Islands","20.8000","45.1000","31.7000","16.1000","52.2000"
"United Arab Emirates","20.5000","44.2000","10.1000","7.7000","81.9000"
"Thailand","20.3000","43.9000","28.3000","2.7000","68.9000"
"Sao Tome and Principe","20.1000","43.5000","19.8000","80.2000","0"
"Paraguay","20.1000","43.5000","54.2000","17.4000","27.3000"
"Russia","20.1000","43.5000","39","12.8000","38.6000"
"Philippines","19.9000","43.1000","27.3000","0.4000","72"
"Saint Lucia","19.8000","42.8000","35.4000","13.2000","50"
"Brazil","19.3000","41.7000","61.8000","3.4000","34.3000"
"Bulgaria","19.2000","41.5000","38.8000","17.2000","42.9000"
"Kazakhstan","19.2000","41.5000","30.5000","6.5000","62.9000"
"Czech Republic","19.1000","41.3000","53.3000","21.3000","25.4000"
"Barbados","19","41.1000","37.6000","10.5000","50"
"Lithuania","18.9000","41","43.6000","7.3000","37.1000"
"Romania","18.8000","40.7000","55.6000","28.1000","16.4000"
"Grenada","18.7000","40.4000","40.9000","7","48.3000"
"Liberia","18.7000","40.5000","9.4000","1.8000","88.2000"
"Serbia","18.5000","39.9000","32","42.5000","25.4000"
"Sierra Leone","18.3000","39.5000","4","1.1000","0"
"Dominica","18","39","11.1000","0","88.9000"
"Turkmenistan","17.8000","38.6000","26.8000","35.1000","38"
"Portugal","17.8000","38.4000","26.1000","61.5000","7.7000"
"Saint Vincent and the Grenadines","17.7000","38.2000","36.6000","3.6000","57.2000"
"Slovenia","17.7000","38.3000","41.4000","50.6000","8"
"Zambia","17.7000","38.3000","36.4000","2.7000","0.4000"
"Myanmar","17.6000","38.1000","22.4000","9.8000","67.7000"
"Latvia","17.2000","37.2000","42.8000","11.1000","40"
